"","x","y","transport","injuries","construction","water","pharmacies","schools","health","parks","markets","libraries","label","vol","int"
"1400",596381.595264866,512923.932599683,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1401",596381.606644515,512923.943979332,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1402",596381.65516067,512923.992495487,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1403",596430.285837668,512939.244275149,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1404",596439.612496941,512944.954856784,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1405",596444.606778752,512945.694387746,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1406",596520.441181127,512981.706421046,51.9906105428533,88.3387753351254,261.942047174966,547.449185982368,285.930061026168,582.923454753081,454.742668791133,45.8009052804119,4177.22620888374,2856.76056938906,1,4979.51680563894,1
"1407",596575.230590987,512932.105328438,131.798247699424,100.457412522211,363.766550000502,582.922077699856,388.048851154005,495.603648425086,403.537862061156,127.464250636977,4119.96668343833,2867.82545598754,1,4979.51680563894,1
"1408",591214.602299223,511960.947261244,50.348071860168,40.475912656478,881.967098623403,523.751716339795,276.272850361513,242.296999472504,793.635825686777,41.6032895724039,2338.66432064563,2834.79076017473,1,4979.51680563894,1
"1409",596029.821595857,512255.019477497,310.735989400785,12.9820257238442,417.211484620154,815.337661344284,242.191172655959,308.648296685504,191.352716382137,170.28539162697,3318.43697827965,2498.73068928435,1,4979.51680563894,1
"1410",596091.733756304,512375.666347143,321.062280433745,62.8926592756927,390.723588381774,880.084558928581,362.986880354579,355.134035091609,310.232792697174,228.925682335264,3424.5615061743,2510.6247955554,1,4979.51680563894,1
"1411",596321.564470291,512818.062828229,359.641965385425,97.6166405576985,512.65529593449,828.330616724603,396.197686426515,526.225506969104,402.408636764567,361.09214824482,3853.51842251835,2642.4515342913,1,4979.51680563894,1
"1412",596381.647464772,512923.984799589,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1413",596381.580162361,512923.917497179,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1414",596381.603888093,512923.94122291,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1415",596411.615664813,512936.605933353,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1416",596427.317503641,513025.922488872,122.865329842499,54.3910341283617,279.766697471654,660.505551591136,304.702824534904,599.73850091365,479.163188488154,142.329968282229,4077.45351394297,2740.12011073686,1,4979.51680563894,1
"1417",596431.261399462,512928.945002137,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1418",596433.446207701,512946.082613654,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1419",596489.283174026,513140.060236017,6.98502071665909,56.4022652720418,117.129706081833,566.444306653544,141.293504770177,459.71726464296,315.559486646511,130.198027988561,4201.46070713794,2766.59225943012,1,4979.51680563894,1
"1420",596496.415653624,513144.794719337,6.98502071665909,56.4022652720418,117.129706081833,566.444306653544,141.293504770177,459.71726464296,315.559486646511,130.198027988561,4201.46070713794,2766.59225943012,1,4979.51680563894,1
"1421",596506.282847192,512868.181813513,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1422",596928.470402743,513198.822847387,57.6761346419188,46.6545037681582,397.24100658645,159.044585379138,166.693419892442,706.11190967778,459.655411782906,48.3577727463098,4562.68718895054,3202.79270243828,1,4979.51680563894,1
"1423",597104.943717035,513022.477791991,85.2564857873408,96.6185745575669,680.325646539764,18.3320682258038,454.013752384034,734.880776136916,365.416387139647,100.243646952519,4679.38984020153,3453.09946983954,1,4979.51680563894,1
"1424",596267.058893237,513097.145219104,98.0648478913321,152.012033450712,251.393966834655,789.608570478354,267.050093572308,353.788378659651,483.41650151544,182.220798710214,3940.45576689174,2464.33396340475,1,4979.51680563894,1
"1425",596620.409058371,512981.827949792,51.9906105428533,88.3387753351254,261.942047174966,547.449185982368,285.930061026168,582.923454753081,454.742668791133,45.8009052804119,4177.22620888374,2856.76056938906,1,4979.51680563894,1
"1426",596447.086480317,512947.662636738,185.945001086241,16.4871761835109,355.415398050311,691.76231787046,379.464725280416,559.213911863344,457.451293079062,186.75938489059,4028.11417334006,2742.64786198305,1,4979.51680563894,1
"1427",596381.62418804,512923.961522857,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
"1428",596398.747031296,513515.539044804,27.234020820918,27.0247896704076,93.4241494665458,336.977608779658,75.024426065244,133.362620953091,93.4241494665466,126.279218063792,4377.96355010718,2727.94990820363,1,4979.51680563894,1
"1429",596381.616563125,512923.953897942,234.836176461968,0.330866942522211,388.691070789657,754.101031372455,413.307470263642,577.18603322037,466.490324636362,244.534542961696,3969.45230056552,2683.99266920342,1,4979.51680563894,1
