"","x","y","transport","injuries","construction","water","pharmacies","schools","health","parks","markets","libraries","label","vol","int"
"1",591401.779658147,512238.722703342,42.4196164998347,45.2859086018529,591.593926638896,221.150145274538,414.90288637722,330.598984746171,737.912152071616,30.6690304542741,2299.65304116444,2535.406783278,1,1461.96126744958,1
"2",591332.069174207,512318.710500306,75.8503621215888,9.58997467829924,607.670842621925,271.234936103766,465.744746157723,176.362295451284,716.908285036327,12.0869350564779,2491.47455047064,2602.24192022258,1,1461.96126744958,1
"3",591264.285302621,512361.633418898,75.8503621215888,9.58997467829924,607.670842621925,271.234936103766,465.744746157723,176.362295451284,716.908285036327,12.0869350564779,2491.47455047064,2602.24192022258,1,974.640844966385,1
"4",591255.223471721,512370.946820025,28.4583313821826,0.739756446977945,623.986028309596,287.341856088028,490.554209546355,120.596317475281,718.74876715112,6.48025808251078,2545.85257441081,2624.99634093528,1,974.640844966385,1
"5",591197.260748095,512068.823070418,28.2152118873188,13.0440248108427,831.371403526864,470.072416270905,373.839406832843,165.435373465366,846.961860793853,79.7476643009378,2389.65998722789,2783.57981669861,1,974.640844966385,1
"7",591342.669755497,512321.775053541,75.8503621215888,9.58997467829924,607.670842621925,271.234936103766,465.744746157723,176.362295451284,716.908285036327,12.0869350564779,2491.47455047064,2602.24192022258,1,1461.96126744958,1
"8",591197.261354531,512068.823676854,28.2152118873188,13.0440248108427,831.371403526864,470.072416270905,373.839406832843,165.435373465366,846.961860793853,79.7476643009378,2389.65998722789,2783.57981669861,1,974.640844966385,1
"9",592444.68573767,510899.519288519,9.34673458291208,24.305063066772,251.566940632135,194.315199420668,236.62497902919,226.542670927844,142.916934579297,54.2509689228518,672.911414529222,1562.36421984693,1,974.640844966385,1
"10",592105.716674278,511172.622033552,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"11",592105.701693275,511172.607052549,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"12",591964.319412816,511238.507641559,18.2106719035963,20.9884404637066,113.448273512221,406.093460414647,45.0336515902867,153.437676427557,329.238818249275,101.061721147698,1259.60579149595,2151.09960755025,1,730.980633724789,1
"13",591928.613698397,511225.887371395,16.2907188818664,17.1965392570712,76.2668124394604,447.812864438727,35.1564341945903,77.3986856664117,278.069665659055,64.9871083849732,1374.47218021267,2241.3188189503,1,1461.96126744958,1
"14",592105.736744641,511172.642103916,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"15",592105.706466511,511172.611825785,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"16",592346.445047182,510839.549364817,67.2596682538267,31.9165405479737,150.564388394866,243.822320425539,146.949840198248,132.929951687794,101.811401140935,62.4243310473386,791.135488578468,1638.82538010177,1,1461.96126744958,1
"17",592105.700832426,511172.6061917,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"18",592105.721997375,511172.62735665,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
"19",592337.684421219,510780.360826536,18.5247009472867,17.7825540645875,103.867560945419,330.409811040105,108.788121264224,189.151571664824,28.9414714527682,51.7460160466863,785.355147322384,1570.02457372488,1,730.980633724789,1
"20",592105.741390287,511172.646749561,103.79839930265,2.70295901380938,131.070916867836,323.504985473692,118.91497196633,236.109341917206,348.120602291341,35.3407749628637,1141.47722816398,2039.41816232448,1,292.392253489916,1
