"","x","y","Jarak_Lampu","n_Lajur","n_Jalur","Kerb_R","Kerb_L","label","vol"
"86",60083.1524209907,-84019.7998337891,5.04172289461302,4,2,1,1,1,2.25330366906782
"87",59577.3154567478,-84685.7831269666,20.0366616240388,1,2,0,0,1,0.804730067567422
"88",60043.3973638077,-84624.9177313438,1.74025303333982,2,2,0,0,1,0.540397603952962
"89",59459.4805952598,-84725.7698046514,73.2013406142697,2,2,0,0,1,0.272266034230577
"90",61772.2200779641,-84096.9152125731,22.3120808466943,4,2,0,0,1,0.899814217458756
"91",61772.2200779641,-84096.9152125731,22.3120808466943,4,2,0,0,1,0.899814217458756
"92",61182.5649934506,-83315.4410153218,73.9085376666469,2,2,0,0,1,1.48098169172517
"93",62322.0257011009,-83409.1587975551,113.511916249298,2,2,0,0,1,0.00043145640333444
"94",62163.9379249469,-84034.6398728846,14.0305623254939,4,2,0,0,1,1.26202992915862
"95",60184.3011964255,-84026.703040502,89.7440870477343,4,2,0,0,1,1.14351757896927
"96",61112.1364961911,-83314.5752701333,3.46403232389615,2,2,0,0,1,1.84355104517543
"97",59946.1353589913,-84177.2149312598,63.8586438312972,1,2,0,0,1,6.1301121553291
"98",60695.2389549038,-84065.7706758566,285.132601083087,4,2,0,0,1,0.845772859627294
"99",61169.9287857207,-84613.5306350614,100.678098075466,2,2,0,0,1,2.05978918106257
"100",59872.167704938,-84547.9777394359,19.8649569293213,2,1,0,0,1,2.92612647213453
"101",62083.4494725143,-84037.8112586782,7.02231746362916,4,2,0,0,1,1.27540882991468
"102",60832.7535435559,-83287.4001738088,277.35980041851,2,2,0,0,1,1.78788186203393
"103",61449.7618953468,-84010.580800603,124.767330880643,2,2,0,0,1,0.488521471932833
"104",62246.3652896453,-83853.9712922538,68.2338706482256,2,2,0,0,1,1.7946828992125
"105",62110.6529209961,-84031.8220912656,20.2051731595708,4,2,1,1,1,0.8009751928498
"106",61017.7178638674,-84061.2170305671,20.1297754917395,1,2,0,0,1,2.52304528647963
"107",62278.9119932005,-83574.1107842988,60.2555268593097,2,2,0,0,1,1.26668768692113
"108",61019.3394483942,-84081.189614994,0.0765621935134964,4,2,0,0,1,0.217282767973361
"109",59913.3859716514,-84000.2030044917,24.5755382361116,4,2,0,0,1,1.93730716242077
"110",59946.8786032219,-84092.7174113417,19.0939620633894,2,2,0,0,1,2.92825799962831
"111",60290.1593897508,-84557.2025629556,80.5817313423962,2,2,0,0,1,2.02103825939752
"112",62151.4892305831,-84034.0883625733,26.4921264730668,4,2,0,0,1,0.947705588541091
"113",61993.052112844,-84054.2609072033,85.9853886937198,4,2,0,0,1,1.07745199297091
"114",62282.3399271779,-83514.7365971913,17.0064407710268,2,2,0,0,1,3.69098365706172
"115",59585.1703554564,-83772.0488616217,7.59713653211927,2,2,1,1,1,1.64727743150603
"116",59672.9816841148,-83827.7502108437,22.4756980514898,2,2,0,0,1,2.69314282720285
"117",61227.4140499364,-84365.2877853094,26.2617258308666,2,2,1,1,1,2.35689351396571
"118",59585.1703554564,-83772.0488616217,7.59713653211927,2,2,1,1,1,1.64727743150603
"119",61954.5291047366,-84148.0857947305,203.007485561086,4,2,0,0,1,0.631758469891603
"120",61513.970660807,-85048.3033871583,53.6129533919958,2,2,0,0,1,0.689287784665871
"121",61240.6104697929,-85057.572490734,42.2890229827358,1,2,0,0,1,0.416234097469451
