"","x","y","Jarak_Lampu","n_Lajur","n_Jalur","Kerb_R","Kerb_L","label","vol"
"1",62144.4593232169,-83920.4838322813,61.390340297076,2,2,0,0,1,5.9233530009755
"2",61281.6674757049,-85470.6720394906,129.935480875666,2,2,0,0,1,5.9233530009755
"3",61189.4749951198,-84528.6335958475,70.9631743520905,2,2,0,0,1,5.9233530009755
"4",59578.3099596878,-83767.8468551167,0.448531356277833,2,2,1,1,1,5.9233530009755
"5",59846.341504884,-83939.5471253801,0.261184277944156,4,2,0,0,1,5.9233530009755
"6",59913.1227527654,-84183.2528762054,27.6938079605547,2,2,0,0,1,5.9233530009755
"7",61777.9676953268,-84097.620802863,28.1028461679217,4,2,0,0,1,5.9233530009755
"8",59691.2575084919,-83837.8112296359,0.278415868783631,4,2,0,0,1,5.9233530009755
"9",59831.4634972319,-83914.1526969018,2.80104019509542,4,2,0,0,1,5.9233530009755
"10",61189.0666358262,-84530.4368078894,72.8120472468387,2,2,0,0,1,5.9233530009755
"11",61251.0290859317,-85112.3522331198,98.0680784243002,2,2,0,0,1,5.9233530009755
"12",60270.9065943137,-84128.072697019,80.6612427458743,1,2,0,0,1,5.9233530009755
"13",59189.7125444811,-84854.7835623926,121.510171952058,2,2,0,0,1,5.9233530009755
"14",62086.9087045227,-84037.0046632173,4.19872669325459,4,2,0,0,1,5.9233530009755
"15",59815.8357884183,-83920.1189501753,7.21616163843679,2,2,0,0,1,5.9233530009755
"16",61833.4320826347,-83817.7784395909,143.131063905496,2,2,0,0,1,5.9233530009755
"17",59924.5175729138,-84072.8645553241,23.1128592982816,2,2,0,0,1,5.9233530009755
"18",59161.2429093876,-84860.2781769886,150.506760732413,2,2,0,0,1,5.9233530009755
"19",59979.1499001841,-83969.9052869127,43.0672568498932,1,2,0,0,1,5.9233530009755
"20",59995.6053135074,-83986.7589341468,45.6112896694126,1,2,0,0,1,5.9233530009755
"21",62178.3296897276,-84036.8105396682,0.681347407869454,4,2,1,0,1,5.9233530009755
"22",61271.0380551898,-84061.6424359835,1.41394219435939,4,2,0,0,1,5.9233530009755
"23",61288.3631332983,-85306.9766410156,39.3318058969404,2,2,0,0,1,5.9233530009755
"24",59883.8782216844,-84742.2726890862,224.017219062245,2,2,0,0,1,5.9233530009755
"25",59900.6220996799,-84177.591897877,43.5424882882347,1,2,0,0,1,5.9233530009755
"26",61202.5177897456,-84857.9778203836,85.4950936569176,2,2,0,0,1,5.9233530009755
"27",61019.3360435636,-84081.1709387854,0.0955462299009802,4,2,0,0,1,5.9233530009755
"28",60541.9341606009,-84053.3607883716,131.189513201325,4,2,0,0,1,5.9233530009755
"29",61194.0518003466,-84508.5954873775,50.4089789720608,2,2,0,0,1,5.9233530009755
"30",60304.8008641666,-84423.4502930419,215.640183766072,2,2,0,0,1,5.9233530009755
"31",62169.5269480444,-84059.2636275325,24.9423307747906,2,2,0,0,1,5.9233530009755
"32",61181.5319351227,-84562.2486169826,105.516851112682,2,2,0,0,1,5.9233530009755
"33",61771.5003505496,-84524.001205615,435.955513518153,2,2,0,0,1,5.9233530009755
"34",61278.4749011263,-85254.3717055009,92.8651863604398,2,2,0,0,1,5.9233530009755
"35",61383.1526207836,-84053.1852629214,103.943061771001,4,2,0,0,1,5.9233530009755
"36",60737.4833065992,-84608.2432360584,213.33252904813,2,2,0,0,1,5.9233530009755
"37",62087.6062039503,-84036.8420259987,3.4825170058201,4,2,0,0,1,5.9233530009755
"38",60071.8811193188,-84033.471408251,19.7413790391129,2,2,0,0,1,5.9233530009755
"39",59909.7312406337,-83996.9812854955,27.0121329609017,4,2,0,0,1,5.9233530009755
"40",62255.3996850692,-83804.8901527732,118.567757566981,2,2,0,0,1,5.9233530009755
"41",61309.5390444772,-84058.3723745865,40.0688237568224,4,2,0,0,1,5.9233530009755
"42",60151.0913490938,-84024.5365744571,64.4749082457239,4,2,0,0,1,5.9233530009755
"43",61272.2536595261,-83317.1650499437,163.633918247871,2,2,0,0,1,5.9233530009755
"44",59623.9587509005,-83582.0842275108,336.183002599805,2,2,0,0,1,5.9233530009755
"45",60103.2955281877,-84869.1789502053,5.47034386048716,2,2,0,0,1,5.9233530009755
"46",62026.997376958,-83881.3916344728,62.6954708088475,2,2,0,0,1,5.9233530009755
"47",61018.2796967669,-84081.8448030595,1.3133528966034,4,2,0,0,1,5.9233530009755
"49",59576.1961262496,-84691.8068956729,22.6960146865689,2,2,0,0,1,5.9233530009755
"50",60639.1597454299,-84061.8806072939,228.896904293134,2,2,0,0,1,5.9233530009755
"51",60312.2885910082,-84037.2557870126,38.7030946578532,4,2,0,0,1,5.9233530009755
"52",60666.9214460493,-84064.0490340475,256.758694283604,2,2,0,0,1,5.9233530009755
"53",61269.8133425551,-84061.6942630026,0.188133450100419,4,2,0,0,1,5.9233530009755
"54",61166.0881912893,-84630.0138105638,83.7531196509133,2,2,0,0,1,5.9233530009755
"55",59768.3677494136,-83234.3514778624,418.278472742985,2,2,0,0,1,5.9233530009755
"56",60140.9388813394,-84162.5654264268,54.7306598652856,2,2,0,0,1,5.9233530009755
"57",61243.2734687146,-85070.2466717813,55.2406675924353,1,2,0,0,1,5.9233530009755
"58",60207.7106850856,-85137.0684934681,219.665754053517,2,2,0,0,1,5.9233530009755
